key,value,date
Minecraft,0.13,2018-02-04
Minecraft,0.15,2018-02-11
Minecraft,0.12,2018-02-18
Minecraft,0.13,2018-02-25
Minecraft,0.12,2018-03-04
Minecraft,0.11,2018-03-11
Minecraft,0.12,2018-03-18
Minecraft,0.13,2018-03-25
Minecraft,0.15,2018-04-01
Minecraft,0.13,2018-04-08
Minecraft,0.09,2018-04-15
Minecraft,0.1,2018-04-22
Minecraft,0.09,2018-04-29
Minecraft,0.1,2018-05-06
Minecraft,0.09,2018-05-13
Minecraft,0.1,2018-05-20
Minecraft,0.13,2018-05-27
Minecraft,0.1,2018-06-03
Minecraft,0.1,2018-06-10
Minecraft,0.1,2018-06-17
Minecraft,0.1,2018-06-24
Minecraft,0.1,2018-07-01
Minecraft,0.11,2018-07-08
Minecraft,0.12,2018-07-15
Minecraft,0.14,2018-07-22
Minecraft,0.14,2018-07-29
Minecraft,0.13,2018-08-05
Minecraft,0.14,2018-08-12
Minecraft,0.14,2018-08-19
Minecraft,0.14,2018-08-26
Minecraft,0.11,2018-09-02
Minecraft,0.1,2018-09-09
Minecraft,0.1,2018-09-16
Minecraft,0.1,2018-09-23
Minecraft,0.1,2018-09-30
Minecraft,0.09,2018-10-07
Minecraft,0.1,2018-10-14
Minecraft,0.12,2018-10-21
Minecraft,0.1,2018-10-28
Minecraft,0.1,2018-11-04
Minecraft,0.1,2018-11-11
Minecraft,0.11,2018-11-18
Minecraft,0.12,2018-11-25
Minecraft,0.11,2018-12-02
Minecraft,0.11,2018-12-09
Minecraft,0.13,2018-12-16
Minecraft,0.15,2018-12-23
Minecraft,0.13,2018-12-30
Minecraft,0.1,2019-01-06
Minecraft,0.1,2019-01-13
Minecraft,0.11,2019-01-20
Minecraft,0.11,2019-01-27
Minecraft,0.11,2019-02-03
Minecraft,0.11,2019-02-10
Minecraft,0.14,2019-02-17
Minecraft,0.1,2019-02-24
Minecraft,0.11,2019-03-03
Minecraft,0.11,2019-03-10
Minecraft,0.12,2019-03-17
Minecraft,0.11,2019-03-24
Minecraft,0.11,2019-03-31
Minecraft,0.14,2019-04-07
Minecraft,0.15,2019-04-14
Minecraft,0.15,2019-04-21
Minecraft,0.14,2019-04-28
Minecraft,0.16,2019-05-05
Minecraft,0.17,2019-05-12
Minecraft,0.17,2019-05-19
Minecraft,0.22,2019-05-26
Minecraft,0.18,2019-06-02
Minecraft,0.18,2019-06-09
Minecraft,0.18,2019-06-16
Minecraft,0.21,2019-06-23
Minecraft,0.24,2019-06-30
Minecraft,0.28,2019-07-07
Minecraft,0.32,2019-07-14
Minecraft,0.34,2019-07-21
Minecraft,0.34,2019-07-28
Minecraft,0.35,2019-08-04
Minecraft,0.38,2019-08-11
Minecraft,0.38,2019-08-18
Minecraft,0.37,2019-08-25
Minecraft,0.32,2019-09-01
Minecraft,0.27,2019-09-08
Minecraft,0.24,2019-09-15
Minecraft,0.23,2019-09-22
Minecraft,0.21,2019-09-29
Minecraft,0.19,2019-10-06
Minecraft,0.18,2019-10-13
Minecraft,0.18,2019-10-20
Minecraft,0.19,2019-10-27
Minecraft,0.16,2019-11-03
Minecraft,0.16,2019-11-10
Minecraft,0.15,2019-11-17
Minecraft,0.15,2019-11-24
Minecraft,0.14,2019-12-01
Fortnite,0.01,2014-12-14
Fortnite,0.01,2014-12-21
Fortnite,0.01,2014-12-28
Fortnite,0.01,2015-01-04
Fortnite,0.01,2015-01-11
Fortnite,0.01,2015-01-18
Fortnite,0.01,2015-01-25
Fortnite,0.01,2015-02-01
Fortnite,0.01,2015-02-08
Fortnite,0.01,2015-02-15
Fortnite,0.01,2015-02-22
Fortnite,0.01,2015-03-01
Fortnite,0.01,2015-03-08
Fortnite,0.01,2015-03-15
Fortnite,0.01,2015-03-22
Fortnite,0.01,2015-03-29
Fortnite,0.01,2015-04-05
Fortnite,0.01,2015-04-12
Fortnite,0.01,2015-04-19
Fortnite,0.01,2015-04-26
Fortnite,0.01,2015-05-03
Fortnite,0.01,2015-05-10
Fortnite,0.01,2015-05-17
Fortnite,0.01,2015-05-24
Fortnite,0.01,2015-05-31
Fortnite,0.01,2015-06-07
Fortnite,0.01,2015-06-14
Fortnite,0.01,2015-06-21
Fortnite,0.01,2015-06-28
Fortnite,0.01,2015-07-05
Fortnite,0.01,2015-07-12
Fortnite,0.01,2015-07-19
Fortnite,0.01,2015-07-26
Fortnite,0.01,2015-08-02
Fortnite,0.01,2015-08-09
Fortnite,0.01,2015-08-16
Fortnite,0.01,2015-08-23
Fortnite,0.01,2015-08-30
Fortnite,0.01,2015-09-06
Fortnite,0.01,2015-09-13
Fortnite,0.01,2015-09-20
Fortnite,0.01,2015-09-27
Fortnite,0.01,2015-10-04
Fortnite,0.01,2015-10-11
Fortnite,0.01,2015-10-18
Fortnite,0.01,2015-10-25
Fortnite,0.01,2015-11-01
Fortnite,0.01,2015-11-08
Fortnite,0.01,2015-11-15
Fortnite,0.01,2015-11-22
Fortnite,0.01,2015-11-29
Fortnite,0.01,2015-12-06
Fortnite,0.01,2015-12-13
Fortnite,0.01,2015-12-20
Fortnite,0.01,2015-12-27
Fortnite,0.01,2016-01-03
Fortnite,0.01,2016-01-10
Fortnite,0.01,2016-01-17
Fortnite,0.01,2016-01-24
Fortnite,0.01,2016-01-31
Fortnite,0.01,2016-02-07
Fortnite,0.01,2016-02-14
Fortnite,0.01,2016-02-21
Fortnite,0.01,2016-02-28
Fortnite,0.01,2016-03-06
Fortnite,0.01,2016-03-13
Fortnite,0.01,2016-03-20
Fortnite,0.01,2016-03-27
Fortnite,0.01,2016-04-03
Fortnite,0.01,2016-04-10
Fortnite,0.01,2016-04-17
Fortnite,0.01,2016-04-24
Fortnite,0.01,2016-05-01
Fortnite,0.01,2016-05-08
Fortnite,0.01,2016-05-15
Fortnite,0.01,2016-05-22
Fortnite,0.01,2016-05-29
Fortnite,0.01,2016-06-05
Fortnite,0.01,2016-06-12
Fortnite,0.01,2016-06-19
Fortnite,0.01,2016-06-26
Fortnite,0.01,2016-07-03
Fortnite,0.01,2016-07-10
Fortnite,0.01,2016-07-17
Fortnite,0.01,2016-07-24
Fortnite,0.01,2016-07-31
Fortnite,0.01,2016-08-07
Fortnite,0.01,2016-08-14
Fortnite,0.01,2016-08-21
Fortnite,0.01,2016-08-28
Fortnite,0.01,2016-09-04
Fortnite,0.01,2016-09-11
Fortnite,0.01,2016-09-18
Fortnite,0.01,2016-09-25
Fortnite,0.01,2016-10-02
Fortnite,0.01,2016-10-09
Fortnite,0.01,2016-10-16
Fortnite,0.01,2016-10-23
Fortnite,0.01,2016-10-30
Fortnite,0.01,2016-11-06
Fortnite,0.01,2016-11-13
Fortnite,0.01,2016-11-20
Fortnite,0.01,2016-11-27
Fortnite,0.01,2016-12-04
Fortnite,0.01,2016-12-11
Fortnite,0.01,2016-12-18
Fortnite,0.01,2016-12-25
Fortnite,0.01,2017-01-01
Fortnite,0.01,2017-01-08
Fortnite,0.01,2017-01-15
Fortnite,0.01,2017-01-22
Fortnite,0.01,2017-01-29
Fortnite,0.01,2017-02-05
Fortnite,0.01,2017-02-12
Fortnite,0.01,2017-02-19
Fortnite,0.01,2017-02-26
Fortnite,0.01,2017-03-05
Fortnite,0.01,2017-03-12
Fortnite,0.01,2017-03-19
Fortnite,0.01,2017-03-26
Fortnite,0.01,2017-04-02
Fortnite,0.01,2017-04-09
Fortnite,0.01,2017-04-16
Fortnite,0.01,2017-04-23
Fortnite,0.01,2017-04-30
Fortnite,0.01,2017-05-07
Fortnite,0.01,2017-05-14
Fortnite,0.01,2017-05-21
Fortnite,0.01,2017-05-28
Fortnite,0.01,2017-06-04
Fortnite,0.01,2017-06-11
Fortnite,0.01,2017-06-18
Fortnite,0.01,2017-06-25
Fortnite,0.01,2017-07-02
Fortnite,0.01,2017-07-09
Fortnite,0.02,2017-07-16
Fortnite,0.03,2017-07-23
Fortnite,0.02,2017-07-30
Fortnite,0.01,2017-08-06
Fortnite,0.01,2017-08-13
Fortnite,0.01,2017-08-20
Fortnite,0.01,2017-08-27
Fortnite,0.01,2017-09-03
Fortnite,0.01,2017-09-10
Fortnite,0.01,2017-09-17
Fortnite,0.04,2017-09-24
Fortnite,0.04,2017-10-01
Fortnite,0.04,2017-10-08
Fortnite,0.04,2017-10-15
Fortnite,0.07,2017-10-22
Fortnite,0.06,2017-10-29
Fortnite,0.05,2017-11-05
Fortnite,0.05,2017-11-12
Fortnite,0.05,2017-11-19
Fortnite,0.07,2017-11-26
Fortnite,0.1,2017-12-03
Fortnite,0.09,2017-12-10
Fortnite,0.09,2017-12-17
Fortnite,0.09,2017-12-24
Fortnite,0.1,2017-12-31
Fortnite,0.11,2018-01-07
Fortnite,0.21,2018-01-14
Fortnite,0.26,2018-01-21
Fortnite,0.22,2018-01-28
Fortnite,0.21,2018-02-04
Fortnite,0.22,2018-02-11
Fortnite,0.3,2018-02-18
Fortnite,0.37,2018-02-25
Fortnite,0.36,2018-03-04
Fortnite,0.63,2018-03-11
Fortnite,0.47,2018-03-18
Fortnite,0.52,2018-03-25
Fortnite,0.57,2018-04-01
Fortnite,0.68,2018-04-08
Fortnite,0.45,2018-04-15
Fortnite,0.48,2018-04-22
Fortnite,0.67,2018-04-29
Fortnite,0.53,2018-05-06
Fortnite,0.52,2018-05-13
Fortnite,0.44,2018-05-20
Fortnite,0.54,2018-05-27
Fortnite,0.41,2018-06-03
Fortnite,0.59,2018-06-10
Fortnite,0.46,2018-06-17
Fortnite,0.6,2018-06-24
Fortnite,0.45,2018-07-01
Fortnite,0.58,2018-07-08
Fortnite,0.49,2018-07-15
Fortnite,0.63,2018-07-22
Fortnite,0.47,2018-07-29
Fortnite,0.48,2018-08-05
Fortnite,0.44,2018-08-12
Fortnite,0.49,2018-08-19
Fortnite,0.47,2018-08-26
Fortnite,0.4,2018-09-02
Fortnite,0.38,2018-09-09
Fortnite,0.39,2018-09-16
Fortnite,0.54,2018-09-23
Fortnite,0.38,2018-09-30
Fortnite,0.38,2018-10-07
Fortnite,0.38,2018-10-14
Fortnite,0.44,2018-10-21
Fortnite,0.39,2018-10-28
Fortnite,0.36,2018-11-04
Fortnite,0.34,2018-11-11
Fortnite,0.33,2018-11-18
Fortnite,0.37,2018-11-25
Fortnite,0.48,2018-12-02
Fortnite,0.4,2018-12-09
Fortnite,0.44,2018-12-16
Fortnite,0.57,2018-12-23
Fortnite,0.45,2018-12-30
Fortnite,0.33,2019-01-06
Fortnite,0.36,2019-01-13
Fortnite,0.32,2019-01-20
Fortnite,0.44,2019-01-27
Fortnite,0.38,2019-02-03
Fortnite,0.41,2019-02-10
Fortnite,0.42,2019-02-17
Fortnite,0.45,2019-02-24
Fortnite,0.32,2019-03-03
Fortnite,0.29,2019-03-10
Fortnite,0.28,2019-03-17
Fortnite,0.27,2019-03-24
Fortnite,0.29,2019-03-31
Fortnite,0.32,2019-04-07
Fortnite,0.33,2019-04-14
Fortnite,0.32,2019-04-21
Fortnite,0.28,2019-04-28
Fortnite,0.37,2019-05-05
Fortnite,0.27,2019-05-12
Fortnite,0.25,2019-05-19
Fortnite,0.28,2019-05-26
Fortnite,0.24,2019-06-02
Fortnite,0.22,2019-06-09
Fortnite,0.23,2019-06-16
Fortnite,0.24,2019-06-23
Fortnite,0.23,2019-06-30
Fortnite,0.23,2019-07-07
Fortnite,0.25,2019-07-14
Fortnite,0.29,2019-07-21
Fortnite,0.42,2019-07-28
Fortnite,0.24,2019-08-04
Fortnite,0.23,2019-08-11
Fortnite,0.2,2019-08-18
Fortnite,0.23,2019-08-25
Fortnite,0.18,2019-09-01
Fortnite,0.17,2019-09-08
Fortnite,0.17,2019-09-15
Fortnite,0.21,2019-09-22
Fortnite,0.17,2019-09-29
Fortnite,0.17,2019-10-06
Fortnite,0.76,2019-10-13
Fortnite,0.24,2019-10-20
Fortnite,0.25,2019-10-27
Fortnite,0.22,2019-11-03
Fortnite,0.21,2019-11-10
Fortnite,0.2,2019-11-17
Fortnite,0.19,2019-11-24
Fortnite,0.18,2019-12-01
Grand Theft Auto V,0.3,2014-12-14
